FOX,Movies & Entertainment
BEN,Asset Management & Custody Banks
FCX,Copper
GPS,Apparel Retail
GRMN,Consumer Electronics
IT,IT Consulting & Other Services
GD,Aerospace & Defense
GE,Industrial Conglomerates
GIS,Packaged Foods & Meats
GM,Automobile Manufacturers
GPC,Specialty Stores
GILD,Biotechnology
GL,Life & Health Insurance
GPN,Data Processing & Outsourced Services
GS,Investment Banking & Brokerage
GWW,Industrial Machinery
HRB,Specialized Consumer Services
HAL,Oil & Gas Equipment & Services
HBI,"Apparel, Accessories & Luxury Goods"
HOG,Motorcycle Manufacturers
HIG,Property & Casualty Insurance
HAS,Leisure Products
HCA,Health Care Facilities
PEAK,Health Care REITs
HP,Oil & Gas Drilling
HSIC,Health Care Distributors
HSY,Packaged Foods & Meats
HES,Integrated Oil & Gas
HPE,"Technology Hardware, Storage & Peripherals"
HLT,"Hotels, Resorts & Cruise Lines"
HFC,Oil & Gas Refining & Marketing
HOLX,Health Care Equipment
HD,Home Improvement Retail
HON,Industrial Conglomerates
HRL,Packaged Foods & Meats
HST,Hotel & Resort REITs
HWM,Aerospace & Defense
HPQ,"Technology Hardware, Storage & Peripherals"
HUM,Managed Health Care
HBAN,Regional Banks
HII,Aerospace & Defense
IEX,Industrial Machinery
IDXX,Health Care Equipment
INFO,Research & Consulting Services
ITW,Industrial Machinery
ILMN,Life Sciences Tools & Services
INCY,Biotechnology
IR,Industrial Machinery
INTC,Semiconductors
ICE,Financial Exchanges & Data
IBM,IT Consulting & Other Services
IP,Paper Packaging
IPG,Advertising
IFF,Specialty Chemicals
INTU,Application Software
ISRG,Health Care Equipment
IVZ,Asset Management & Custody Banks
IPGP,Electronic Manufacturing Services
IQV,Life Sciences Tools & Services
IRM,Specialized REITs
JKHY,Data Processing & Outsourced Services
J,Construction & Engineering
JBHT,Trucking
SJM,Packaged Foods & Meats
JNJ,Pharmaceuticals
JCI,Building Products
JPM,Diversified Banks
JNPR,Communications Equipment
KSU,Railroads
K,Packaged Foods & Meats
KEY,Regional Banks
KEYS,Electronic Equipment & Instruments
KMB,Household Products
KIM,Retail REITs
KMI,Oil & Gas Storage & Transportation
KLAC,Semiconductor Equipment
KSS,General Merchandise Stores
KHC,Packaged Foods & Meats
KR,Food Retail
LB,Apparel Retail
LHX,Aerospace & Defense
LH,Health Care Services
LRCX,Semiconductor Equipment
LW,Packaged Foods & Meats
LVS,Casinos & Gaming
LEG,Home Furnishings
LDOS,IT Consulting & Other Services
LEN,Homebuilding
LLY,Pharmaceuticals
